ticket_number;requestor_name;owner_group;issue_category;ticket_type;severity;severity_num;days_open;satisfaction_ind;ticket_status;created_date
247-307098-0644-2-G;Gilly Shortcliffe;Networking;Access/Login;Request;Low;1;19;Unsatisfied;Open;2020-03-25
269-279047-5620-5-C;Ethelbert Milburn;Networking;Systems;Issue;Medium;2;26;Unknown;Open;2020-09-01
328-034303-3033-6-R;Jennilee Baldoni;Software;Software;Request;Unassigned;0;4;Unsatisfied;Open;2020-04-02
811-947364-0165-2-N;Eliot Keeling;Security and Governance;Access/Login;Request;High;3;5;Unknown;Open;2020-06-17
189-595930-6102-5-W;Mathew Collum;Architecture;Hardware;Issue;Unassigned;0;2;Unknown;Open;2020-07-05
535-511132-0114-6-V;Cordell Finlayson;Hardware;Hardware;Issue;Unassigned;0;8;Satisfied;Resolved;2020-09-08
767-688580-9119-8-F;Dorris Geale;Security and Governance;Access/Login;Request;Low;1;20;Satisfied;Open;2020-06-24
315-664057-8726-3-A;Effie Sepey;Hardware;Hardware;Request;Medium;2;26;Satisfied;Open;2020-05-01
920-483231-6446-6-N;Kimbra Flattman;Architecture;Systems;Request;Unassigned;0;28;Satisfied;Open;2020-07-20
870-734497-9103-1-D;Virgilio Yerrell;Networking;Hardware;Request;Medium;2;31;Unknown;Open;2020-10-22
247-240890-3492-6-R;Sarina Twelvetree;Hardware;Hardware;Request;Low;1;2;Satisfied;Open;2020-07-25
086-183209-7626-6-O;Nettle Dobson;Hardware;Hardware;Request;Low;1;35;Satisfied;Open;2020-07-16
099-771813-8983-2-W;Tobe Rickards;Hardware;Hardware;Issue;Low;1;37;Satisfied;Open;2020-05-04
234-377020-6608-4-W;Cassie Webermann;Architecture;Systems;Request;Medium;2;7;Satisfied;Waiting for Requestor Feedback;2020-10-15
880-151217-3992-8-M;Kerrill Colly;Security and Governance;Access/Login;Issue;Medium;2;29;Satisfied;Open;2020-08-10
927-356264-1695-7-W;Worth Yakunikov;Networking;Systems;Request;High;3;1;Satisfied;Closed - No Action;2020-06-16
257-822048-5622-5-H;Guthrie Trowell;Hardware;Systems;Request;High;3;26;Unknown;Resolved;2020-07-24
437-281428-3688-0-H;Carmella Archbald;Architecture;Systems;Issue;High;3;19;Satisfied;Open;2020-08-10
242-813672-3382-0-W;Cindi Drennan;Software;Access/Login;Request;Unassigned;0;30;Satisfied;Waiting for Requestor Feedback;2020-03-03
015-518792-7187-4-M;Richart Cornelleau;Hardware;Hardware;Request;Low;1;9;Satisfied;Resolved;2020-05-28
999-372513-0533-0-Q;Alvin Meryett;Architecture;Systems;Request;Low;1;22;Unknown;Open;2020-03-17
899-578600-8204-6-R;Friederike Peterson;Architecture;Hardware;Issue;Unassigned;0;10;Unknown;Open;2020-07-26
570-029423-2320-4-V;Kendre Yandle;Software;Software;Issue;Low;1;21;Unsatisfied;Resolved;2020-04-25
526-991880-7425-5-Y;Stacy Sidney;Software;Access/Login;Issue;Unassigned;0;35;Satisfied;Open;2020-05-24
400-300079-5727-2-T;Lorrie Dybell;Security and Governance;Access/Login;Request;Low;1;37;Satisfied;Open;2020-06-05
268-049130-3592-8-Q;Sheffy Andrichak;Architecture;Hardware;Request;Low;1;22;Satisfied;Open;2020-05-12
495-157049-4073-5-Q;Matthieu Goodinson;Software;Software;Request;Low;1;31;Satisfied;Open;2020-10-22
218-862740-4614-4-O;Ellery Vigours;Hardware;Hardware;Issue;Medium;2;14;Unknown;Open;2020-05-16
776-494071-0647-0-N;Corabella Connell;Software;Software;Request;Low;1;1;Unknown;Open;2020-05-16
179-540281-4098-3-M;Anstice Hawford;Security and Governance;Access/Login;Issue;Unassigned;0;27;Unsatisfied;Waiting for Requestor Feedback;2020-10-01
690-970552-4856-1-Q;Marti Huntley;Architecture;Systems;Request;Unassigned;0;23;Satisfied;Open;2020-09-30
889-403183-3853-3-Q;Annie Mattiessen;Software;Software;Request;Medium;2;34;Unknown;Waiting for Requestor Feedback;2020-05-13
651-534505-2966-1-M;Gregory Middleton;Software;Access/Login;Request;Unassigned;0;4;Unknown;Waiting for Requestor Feedback;2020-05-22
761-672182-8295-2-E;Keefer Jillings;Architecture;Systems;Request;Unassigned;0;30;Satisfied;Open;2020-03-13
696-360395-9269-5-C;Lizzy Bushrod;Architecture;Systems;Issue;Medium;2;25;Satisfied;Open;2020-04-02
795-869477-0740-1-N;Vonni Beamand;Architecture;Systems;Issue;High;3;6;Unknown;Open;2020-07-11
577-481211-9399-7-U;Rudd Hargie;Networking;Access/Login;Request;Low;1;13;Unknown;Open;2020-06-12
479-409226-8767-4-F;Almeria Jephcott;Hardware;Hardware;Request;Low;1;28;Satisfied;Open;2020-06-23
523-607708-0648-2-M;Lucinda Nehlsen;Hardware;Hardware;Issue;High;3;31;Unknown;Open;2020-03-02
156-057552-7713-4-E;Northrop Merrell;Architecture;Systems;Request;Unassigned;0;36;Unknown;Open;2020-05-18
700-592255-7382-7-K;Gloriane Bernadot;Security and Governance;Access/Login;Request;Low;1;11;Satisfied;Open;2020-05-17
139-245245-0046-9-K;Shandra Nelhams;Networking;Access/Login;Request;Low;1;24;Unknown;Open;2020-09-25
775-378088-3520-5-D;Kayne Capper;Architecture;Systems;Request;High;3;8;Satisfied;Open;2020-03-03
700-634054-1745-8-R;Sasha Huzzey;Hardware;Systems;Request;Low;1;29;Satisfied;Resolved;2020-07-02
361-850650-6929-9-K;Sally Bargh;Software;Access/Login;Request;Medium;2;33;Satisfied;Resolved;2020-07-10
469-260606-2113-5-N;Georgia Bartczak;Networking;Access/Login;Request;Medium;2;17;Satisfied;Waiting for Requestor Feedback;2020-09-27
803-806558-7256-3-I;Merridie Merrall;Security and Governance;Access/Login;Issue;Unassigned;0;26;Satisfied;Open;2020-06-23
386-609919-0296-5-N;Lilli Tungate;Security and Governance;Access/Login;Request;Unassigned;0;24;Satisfied;Resolved;2020-03-18
071-165556-5543-7-D;Fayette Balaam;Hardware;Hardware;Issue;Low;1;17;Unknown;Waiting for Requestor Feedback;2020-09-07
241-400466-3902-3-C;Korrie Codi;Networking;Hardware;Issue;Low;1;24;Unknown;Resolved;2020-07-17
025-502060-6939-4-A;Allianora Batchellor;Security and Governance;Access/Login;Request;Low;1;25;Satisfied;Waiting for Requestor Feedback;2020-07-25
195-376511-0343-6-W;Silvana Campelli;Networking;Access/Login;Issue;Medium;2;22;Unknown;Waiting for Requestor Feedback;2020-06-28
443-144556-9983-2-Z;Madelaine Guillon;Networking;Access/Login;Issue;Unassigned;0;24;Unknown;Resolved;2020-05-26
936-108793-4822-9-P;Hedvig Crayton;Hardware;Systems;Request;High;3;10;Satisfied;Open;2020-04-12
805-892094-4880-8-P;Lorilee Mainstone;Architecture;Systems;Issue;Low;1;34;Unsatisfied;Open;2020-07-07
977-512148-6783-6-E;Abner Choldcroft;Software;Access/Login;Request;Low;1;19;Satisfied;Open;2020-03-28
372-501723-6539-6-O;Angy Touret;Security and Governance;Access/Login;Request;Low;1;24;Satisfied;Open;2020-06-17
511-635375-4253-8-B;Jone Fawssett;Security and Governance;Access/Login;Issue;Medium;2;11;Unknown;Open;2020-04-16
870-477303-6684-8-G;Caril Ick;Hardware;Systems;Request;Unassigned;0;15;Unknown;Open;2020-07-24
661-593237-6235-5-P;Neille Summerfield;Software;Software;Issue;Unassigned;0;34;Unknown;Open;2020-04-05
919-029202-6396-0-W;Stormi Portis;Security and Governance;Access/Login;Issue;Unassigned;0;21;Satisfied;Open;2020-10-02
176-503097-0604-9-A;Mirella Jeans;Hardware;Systems;Issue;Low;1;16;Satisfied;Open;2020-07-07
589-193258-5948-0-Y;Faunie Hatch;Networking;Access/Login;Issue;Low;1;14;Unknown;Open;2020-04-14
689-847960-9733-0-K;Hermann McKimm;Software;Access/Login;Request;Unassigned;0;13;Satisfied;Resolved;2020-03-01
693-444769-4618-0-Y;Morley Bourcq;Software;Software;Issue;Low;1;21;Unknown;Waiting for Requestor Feedback;2020-09-26
195-959806-0959-8-I;Dolley Keling;Architecture;Systems;Issue;Unassigned;0;9;Satisfied;Open;2020-03-09
771-627781-9567-4-S;Burke Seymour;Architecture;Systems;Request;Medium;2;8;Unsatisfied;Waiting for Requestor Feedback;2020-08-27
572-528425-2200-8-I;Lesley Yurov;Networking;Systems;Request;Unassigned;0;3;Satisfied;Open;2020-03-26
968-615621-6579-4-L;Antonina Ruffell;Networking;Hardware;Issue;High;3;22;Unknown;Open;2020-10-19
082-973658-5224-8-S;Pammie Swyre;Networking;Access/Login;Issue;High;3;30;Unknown;Waiting for Requestor Feedback;2020-07-18
871-662114-7357-5-Y;Alex Soar;Security and Governance;Access/Login;Issue;High;3;3;Satisfied;Open;2020-03-02
530-189856-3672-6-H;Fara Cusick;Networking;Systems;Issue;Low;1;25;Satisfied;Open;2020-08-24
200-402478-3218-6-O;Joni Vasyatkin;Software;Access/Login;Request;High;3;11;Unknown;Open;2020-08-31
795-131085-7785-5-O;Giulio Vreiberg;Software;Access/Login;Request;High;3;25;Satisfied;Resolved;2020-08-23
370-611625-1531-9-E;Darbie Meriet;Hardware;Hardware;Issue;Low;1;1;Unknown;Open;2020-04-26
424-401847-8373-6-I;Romain Congram;Networking;Systems;Request;High;3;4;Satisfied;Open;2020-06-09
804-016950-3279-6-S;Yul Staziker;Software;Access/Login;Request;Unassigned;0;16;Satisfied;Open;2020-10-24
405-425103-3762-0-L;Lynsey Lambillion;Hardware;Systems;Issue;Medium;2;35;Satisfied;Open;2020-07-12
111-025406-1298-5-F;Augie Wickrath;Software;Software;Request;Unassigned;0;36;Unknown;Resolved;2020-05-22
654-445564-9414-0-F;Holden Spehr;Hardware;Hardware;Issue;High;3;36;Satisfied;Resolved;2020-10-15
909-772368-4311-0-G;Hillary Duffitt;Security and Governance;Access/Login;Request;Unassigned;0;14;Unknown;Open;2020-10-28
272-967285-2453-1-U;Vernice Lawlee;Networking;Systems;Request;High;3;9;Satisfied;Open;2020-03-09
912-350111-8053-9-G;Nathalie Crich;Security and Governance;Access/Login;Request;Low;1;12;Unsatisfied;Open;2020-05-27
021-800492-5688-9-G;Tobias Maggiori;Software;Access/Login;Request;Unassigned;0;13;Unknown;Open;2020-06-17
514-760499-3664-1-A;Cassie Wellbelove;Networking;Access/Login;Issue;Low;1;20;Satisfied;Resolved;2020-03-12
807-143390-9982-9-Y;Dannye Hamberston;Security and Governance;Access/Login;Issue;Low;1;13;Unknown;Waiting for Requestor Feedback;2020-08-09
317-845776-6761-8-F;Lil Brightling;Security and Governance;Access/Login;Request;High;3;21;Unknown;Waiting for Requestor Feedback;2020-03-01
349-222758-2325-4-I;Livy Olivelli;Software;Access/Login;Issue;Unassigned;0;25;Unknown;Open;2020-03-10
658-045771-6057-2-K;Stanleigh Parker;Security and Governance;Access/Login;Issue;Medium;2;26;Satisfied;Resolved;2020-09-17
512-535747-0439-4-Y;Fedora Mortimer;Security and Governance;Access/Login;Issue;Low;1;32;Unknown;Open;2020-03-15
213-216241-7331-8-K;Sidoney Moores;Hardware;Systems;Issue;Low;1;31;Satisfied;Resolved;2020-09-14
576-802088-2492-9-D;Addy Grimsell;Architecture;Hardware;Issue;Unassigned;0;26;Satisfied;Open;2020-06-17
062-683770-1291-4-U;Archibaldo Stuckow;Networking;Systems;Issue;Unassigned;0;23;Satisfied;Open;2020-03-27
852-443183-6058-8-S;Hersh Foad;Software;Access/Login;Request;Medium;2;32;Unknown;Open;2020-06-28
931-206274-0915-2-I;Pen Fleeming;Software;Access/Login;Issue;Low;1;14;Satisfied;Waiting for Requestor Feedback;2020-09-30
038-066147-9379-8-J;Darell Puddan;Software;Access/Login;Issue;Unassigned;0;3;Unknown;Open;2020-09-10
263-483011-8296-4-V;Ferd Benneton;Networking;Systems;Request;Unassigned;0;32;Satisfied;Open;2020-08-16
771-118701-3210-0-M;Sheppard Scampion;Architecture;Hardware;Request;High;3;12;Unknown;Open;2020-06-07
416-109731-9742-4-H;Forrest Etty;Networking;Access/Login;Issue;Low;1;24;Satisfied;Open;2020-08-25
968-942914-9763-0-I;Myer Tilson;Software;Software;Request;High;3;31;Unknown;Open;2020-07-13
891-473135-2806-8-H;Morganne Moorerud;Software;Access/Login;Request;Low;1;24;Satisfied;Open;2020-07-15
845-095050-3567-5-A;Eddi Vowden;Architecture;Systems;Issue;Low;1;11;Satisfied;Open;2020-10-09
264-233649-7517-2-S;Dania Marsay;Networking;Access/Login;Issue;Medium;2;24;Unsatisfied;Open;2020-04-12
903-611968-2798-1-G;Andie Eadmeads;Architecture;Hardware;Issue;Unassigned;0;27;Unsatisfied;Open;2020-07-24
935-133564-8620-9-N;Tuesday Andretti;Security and Governance;Access/Login;Issue;Low;1;34;Satisfied;Open;2020-05-07
381-700661-2154-5-R;Carlynne Giacomini;Architecture;Systems;Issue;Unassigned;0;25;Unknown;Waiting for Requestor Feedback;2020-09-20
179-319520-6399-9-B;Kathleen Sibbit;Security and Governance;Access/Login;Request;Unassigned;0;31;Satisfied;Open;2020-04-12
673-968339-2807-7-A;Josie Marrow;Software;Access/Login;Request;Low;1;16;Unknown;Resolved;2020-04-27
683-891706-9643-5-J;Bernice Riddler;Software;Access/Login;Request;Medium;2;2;Satisfied;Waiting for Requestor Feedback;2020-09-08
041-827058-7927-8-Z;Brit Donaldson;Hardware;Hardware;Issue;Unassigned;0;27;Unsatisfied;Open;2020-08-21
826-792576-8130-0-S;Thaine Blown;Software;Software;Request;Unassigned;0;3;Satisfied;Open;2020-07-24
739-174507-9957-7-A;Willow Crocetto;Architecture;Hardware;Issue;High;3;14;Unsatisfied;Open;2020-03-22
326-919611-0962-3-M;Adela Vick;Software;Access/Login;Issue;High;3;3;Satisfied;Open;2020-05-06
695-072659-2398-4-I;Reece Frewer;Hardware;Hardware;Issue;Low;1;20;Satisfied;Open;2020-05-02
951-315304-5373-1-I;Dulcinea Farres;Networking;Systems;Issue;High;3;19;Satisfied;Open;2020-05-06
682-209757-9193-6-N;Wren Fullick;Architecture;Systems;Issue;Medium;2;28;Unsatisfied;Waiting for Requestor Feedback;2020-08-15
169-259350-5778-2-G;Yurik Cowlin;Security and Governance;Access/Login;Issue;Unassigned;0;13;Unknown;Waiting for Requestor Feedback;2020-05-10
303-323392-5649-1-V;Kellyann Gouldsmith;Networking;Access/Login;Request;High;3;12;Satisfied;Open;2020-07-05
837-409958-3557-7-K;Mechelle Andrat;Security and Governance;Access/Login;Request;Low;1;23;Satisfied;Open;2020-10-27
863-840468-0323-4-W;Barry Blasing;Hardware;Systems;Issue;Low;1;28;Unknown;Open;2020-06-12
224-143812-3036-0-M;Danyelle Crucitti;Hardware;Hardware;Issue;Medium;2;1;Satisfied;Waiting for Requestor Feedback;2020-09-09
056-945330-1482-6-U;Bing O'Kerin;Architecture;Hardware;Issue;Unassigned;0;14;Satisfied;Open;2020-08-31
265-903525-0314-8-N;Dalston Philpotts;Security and Governance;Access/Login;Issue;Medium;2;21;Satisfied;Open;2020-05-18
906-636580-9787-2-F;Iolande Hambright;Hardware;Systems;Request;Medium;2;6;Satisfied;Waiting for Requestor Feedback;2020-05-19
024-236351-7873-2-F;Chery Sheffield;Architecture;Hardware;Request;Unassigned;0;18;Satisfied;Open;2020-08-13
707-977642-9152-7-L;Ezechiel Langsdon;Hardware;Hardware;Request;Low;1;19;Unknown;Open;2020-03-23
553-986656-1998-0-S;Peadar Skerratt;Software;Software;Issue;High;3;17;Unsatisfied;Waiting for Requestor Feedback;2020-10-10
068-168680-0692-6-G;Archibold Lougheed;Architecture;Systems;Request;Low;1;14;Satisfied;Open;2020-04-03
254-135816-8414-1-J;Ely Cosin;Architecture;Hardware;Issue;Unassigned;0;32;Unknown;Open;2020-05-30
658-945977-2028-9-Z;Esme Haye;Architecture;Systems;Issue;Medium;2;4;Unknown;Open;2020-05-18
793-455846-7180-6-T;Berne Pershouse;Software;Access/Login;Request;Unassigned;0;8;Unknown;Open;2020-06-25
246-362295-7090-5-N;Shaina Renish;Software;Access/Login;Request;High;3;26;Unknown;Waiting for Requestor Feedback;2020-07-10
874-744704-8016-1-W;Adah Crellin;Software;Access/Login;Issue;Unassigned;0;29;Satisfied;Open;2020-04-27
428-213414-9670-8-O;Vanya Waud;Networking;Hardware;Issue;High;3;4;Unsatisfied;Resolved;2020-10-12
341-855973-7503-7-R;Myra Yate;Architecture;Systems;Issue;Medium;2;29;Unknown;Waiting for Requestor Feedback;2020-10-21
843-215696-0738-5-D;Elyn Glashby;Architecture;Hardware;Request;Unassigned;0;36;Unknown;Waiting for Requestor Feedback;2020-09-14
564-694970-9197-5-X;Arlana Coverdale;Networking;Hardware;Issue;High;3;32;Unknown;Resolved;2020-05-26
267-424092-9358-7-N;Terry Teacy;Architecture;Hardware;Issue;Low;1;13;Unknown;Resolved;2020-07-24
255-154045-3551-3-M;Kristofor Kinnaird;Security and Governance;Access/Login;Issue;Medium;2;21;Unknown;Closed - No Action;2020-03-11
032-123245-7687-3-V;Vikky Lardeur;Hardware;Systems;Issue;Unassigned;0;30;Unknown;Resolved;2020-06-19
180-307291-6724-5-J;Justino Yeudall;Software;Access/Login;Issue;Low;1;23;Unknown;Open;2020-08-23
109-757760-6654-5-P;Sutton Sweatland;Software;Access/Login;Issue;Unassigned;0;34;Satisfied;Open;2020-07-26
534-485630-7844-0-L;Ruby Fennelow;Networking;Access/Login;Request;Low;1;1;Satisfied;Closed - No Action;2020-08-12
985-861880-4672-3-A;Larisa Skull;Networking;Systems;Request;High;3;34;Satisfied;Open;2020-07-23
409-310579-8115-9-A;Reidar Wardall;Software;Access/Login;Request;Low;1;24;Unknown;Open;2020-09-20
254-848418-5582-1-U;Marlowe Pickavance;Software;Software;Issue;Medium;2;23;Unsatisfied;Open;2020-04-05
921-156959-2453-8-G;Jena Ishaki;Security and Governance;Access/Login;Request;Medium;2;18;Satisfied;Resolved;2020-06-21
735-408944-0596-5-M;Marga Yanuk;Networking;Systems;Issue;High;3;10;Unknown;Open;2020-07-23
230-224667-3440-3-X;Harmonia Paolozzi;Security and Governance;Access/Login;Request;Unassigned;0;3;Satisfied;Open;2020-07-15
249-975402-8637-6-S;Isis Halcro;Hardware;Systems;Request;Unassigned;0;5;Unknown;Open;2020-08-06
834-178218-6408-7-X;Torrin Dansie;Security and Governance;Access/Login;Request;Unassigned;0;26;Satisfied;Open;2020-07-01
044-487490-2616-3-S;Hadley Thomtson;Architecture;Hardware;Request;Low;1;24;Unknown;Waiting for Requestor Feedback;2020-08-03
380-962219-3471-6-D;Cleo Telega;Networking;Hardware;Request;Medium;2;16;Satisfied;Open;2020-10-28
274-334552-7382-7-O;Garvey Zack;Security and Governance;Access/Login;Request;Unassigned;0;7;Satisfied;Waiting for Requestor Feedback;2020-06-14
219-267496-9274-7-H;Melisse Holby;Architecture;Systems;Issue;High;3;29;Unknown;Open;2020-03-30
746-847841-5129-3-S;Packston Tomich;Architecture;Systems;Request;Unassigned;0;9;Satisfied;Open;2020-08-02
027-749248-3849-5-J;Sauncho Leyborne;Security and Governance;Access/Login;Request;Medium;2;29;Unknown;Open;2020-07-09
910-353008-3172-8-O;Carmelle Grimolbie;Architecture;Systems;Issue;Low;1;30;Satisfied;Closed - No Action;2020-10-04
251-598492-8820-5-X;Martino Pretley;Hardware;Hardware;Request;Unassigned;0;30;Unknown;Open;2020-06-07
778-622414-0096-4-J;Shandeigh Stayte;Networking;Hardware;Issue;Medium;2;23;Satisfied;Open;2020-04-18
681-894189-1918-6-N;Taite Feaveryear;Hardware;Systems;Issue;Unassigned;0;7;Satisfied;Closed - No Action;2020-08-26
295-971085-3679-6-X;Wilie Skym;Software;Software;Issue;Medium;2;8;Satisfied;Open;2020-09-30
195-927258-3885-0-D;Korie Davoren;Security and Governance;Access/Login;Issue;Unassigned;0;24;Satisfied;Open;2020-06-24
662-997523-9036-3-Q;Onofredo Tebbitt;Software;Software;Issue;Low;1;24;Unknown;Waiting for Requestor Feedback;2020-04-09
029-888589-9955-6-T;Jess Farfoot;Networking;Hardware;Request;High;3;11;Satisfied;Open;2020-09-29
329-596390-6991-8-Z;Amanda Bothe;Architecture;Hardware;Issue;Unassigned;0;32;Satisfied;Waiting for Requestor Feedback;2020-04-29
340-007850-9173-7-I;Ewell Sainteau;Networking;Hardware;Issue;Low;1;6;Satisfied;Open;2020-04-01
631-967817-2341-0-C;Lynelle Pinxton;Networking;Systems;Request;Low;1;26;Satisfied;Waiting for Requestor Feedback;2020-04-15
600-169467-8259-4-M;Shepard Skill;Architecture;Hardware;Issue;Unassigned;0;32;Satisfied;Open;2020-04-15
540-182349-9543-6-M;Daryle Husselbee;Security and Governance;Access/Login;Request;Low;1;26;Unknown;Open;2020-05-19
883-669312-2017-9-N;Cointon Lawles;Security and Governance;Access/Login;Request;Low;1;7;Unknown;Closed - No Action;2020-08-30
023-536067-8572-0-E;Daile Draysey;Security and Governance;Access/Login;Request;Medium;2;33;Unknown;Open;2020-03-21
822-440481-5666-7-T;Nomi MacAne;Networking;Access/Login;Request;Unassigned;0;35;Satisfied;Open;2020-04-08
126-794119-5650-8-F;Malchy Dettmar;Software;Access/Login;Request;Unassigned;0;22;Unknown;Open;2020-09-26
043-413529-9999-9-U;Gabriel Boliver;Security and Governance;Access/Login;Issue;Unassigned;0;4;Satisfied;Resolved;2020-04-29
993-453060-2971-5-N;Tasia Burnsell;Security and Governance;Access/Login;Issue;High;3;6;Satisfied;Waiting for Requestor Feedback;2020-04-22
060-049215-0433-9-R;Janey Boosey;Architecture;Systems;Request;Unassigned;0;37;Satisfied;Open;2020-05-04
749-215744-6435-5-R;Marje Webland;Networking;Systems;Issue;High;3;1;Unsatisfied;Resolved;2020-05-28
